time,frequency,confidence
0.000,123.671,0.237712
0.010,36.038,0.021007
0.020,35.463,0.054730
0.030,34.928,0.231966
0.040,34.483,0.414062
0.050,34.982,0.183982
0.060,36.871,0.339262
0.070,37.244,0.626698
0.080,37.290,0.274463
0.090,47.343,0.025308
0.100,53.700,0.008163
0.110,32.208,0.018101
0.120,32.652,0.039594
0.130,33.562,0.056419
0.140,34.599,0.184488
0.150,34.724,0.151971
0.160,34.304,0.297172
0.170,33.992,0.213791
0.180,33.013,0.030068
0.190,32.797,0.022012
0.200,32.857,0.066942
0.210,34.062,0.273254
0.220,32.323,0.015827
0.230,32.066,0.030948
0.240,56.055,0.022805
0.250,55.215,0.110040
0.260,54.436,0.027540
0.270,32.623,0.040275
0.280,32.908,0.021257
0.290,54.086,0.015002
0.300,49.838,0.062106
0.310,49.602,0.068247
0.320,32.264,0.085968
0.330,32.654,0.219916
0.340,33.965,0.027569
0.350,41.712,0.019618
0.360,48.528,0.012198
0.370,50.280,0.305771
0.380,32.200,0.087056
0.390,32.263,0.055801
0.400,32.380,0.022986
0.410,32.467,0.072562
0.420,32.300,0.272919
0.430,32.926,0.238901
0.440,32.509,0.092227
0.450,32.650,0.480083
0.460,33.405,0.621855
0.470,34.133,0.428280
0.480,43.316,0.056692
0.490,54.824,0.019005
0.500,32.308,0.015288
0.510,32.387,0.043427
0.520,40.122,0.074304
0.530,40.215,0.089005
0.540,32.621,0.090169
0.550,32.878,0.193493
0.560,33.050,0.061547
0.570,333.199,0.034781
0.580,274.255,0.033073
0.590,268.554,0.059853
0.600,266.077,0.118916
0.610,33.074,0.172650
0.620,33.210,0.034924
0.630,35.476,0.062149
0.640,35.522,0.021248
0.650,35.403,0.032982
0.660,35.753,0.024679
0.670,35.628,0.065123
0.680,390.923,0.023390
0.690,390.694,0.045378
0.700,662.727,0.029134
0.710,32.418,0.007937
0.720,42.607,0.026625
0.730,36.288,0.022508
0.740,32.315,0.019118
0.750,32.990,0.066687
0.760,33.438,0.284724
0.770,33.976,0.183787
0.780,34.082,0.048114
0.790,34.333,0.067369
0.800,52.349,0.050098
0.810,51.575,0.064685
0.820,50.243,0.087032
0.830,50.589,0.095356
0.840,36.085,0.323529
0.850,32.289,0.215775
0.860,32.106,0.044125
0.870,1724.425,0.012144
0.880,323.499,0.016619
0.890,1751.926,0.035386
0.900,1297.264,0.032279
0.910,1709.297,0.038535
0.920,1284.799,0.050056
0.930,1284.853,0.051837
0.940,1285.809,0.024728
0.950,1188.258,0.021130
0.960,1161.320,0.024377
0.970,1138.263,0.010243
0.980,1116.578,0.008640
0.990,1111.787,0.005675
1.000,1100.693,0.002598
1.010,1089.715,0.002273
1.020,1083.015,0.002374
1.030,1065.153,0.002324
1.040,1983.574,0.001975
1.050,1977.637,0.004358
1.060,1974.661,0.005633
1.070,1969.545,0.006244
1.080,1956.757,0.011216
1.090,1952.805,0.008223
1.100,1942.748,0.006688
1.110,1943.687,0.007747
1.120,1935.932,0.003924
1.130,1929.339,0.002801
1.140,1920.435,0.003908
1.150,1914.764,0.006887
1.160,1913.700,0.005914
1.170,1418.236,0.002979
1.180,1933.948,0.004940
1.190,1939.810,0.011066
1.200,1963.837,0.009288
1.210,1962.329,0.009247
1.220,1332.596,0.005983
1.230,1919.947,0.012789
1.240,1906.554,0.009528
1.250,1328.131,0.015939
1.260,1873.446,0.010248
1.270,1240.574,0.012802
1.280,1247.879,0.029392
1.290,1245.347,0.024671
1.300,1224.331,0.020819
1.310,1326.998,0.014693
1.320,1308.045,0.007388
1.330,1289.642,0.008572
1.340,1298.574,0.022286
1.350,1290.226,0.022201
1.360,1661.418,0.020713
1.370,1692.445,0.021263
1.380,655.978,0.023969
1.390,657.000,0.079565
1.400,656.953,0.085596
1.410,1627.338,0.041202
1.420,1179.641,0.060019
1.430,1172.957,0.045059
1.440,577.413,0.039765
1.450,578.455,0.024629
1.460,1147.001,0.008547
1.470,1128.581,0.003796
1.480,554.942,0.002506
1.490,550.365,0.001448
1.500,1088.036,0.001310
1.510,1077.734,0.001577
1.520,1072.398,0.001621
1.530,1063.321,0.001684
1.540,1057.130,0.001553
1.550,1056.155,0.001432
1.560,1979.632,0.003247
1.570,1974.822,0.003979
1.580,1972.263,0.006517
1.590,1960.884,0.009196
1.600,1953.567,0.007038
1.610,1943.449,0.005977
1.620,1934.344,0.007155
1.630,1905.035,0.002776
1.640,1874.821,0.002111
1.650,1854.312,0.000859
1.660,1805.872,0.000339
1.670,1774.915,0.000625
1.680,1757.439,0.001799
1.690,1745.572,0.005352
1.700,1731.301,0.007953
1.710,1713.741,0.008869
1.720,1699.123,0.016128
1.730,1685.573,0.017233
1.740,1670.690,0.009156
1.750,1660.588,0.007342
1.760,1658.157,0.002718
1.770,1109.370,0.001668
1.780,1169.518,0.001489
1.790,585.467,0.004649
1.800,587.298,0.014363
1.810,589.239,0.023371
1.820,591.789,0.017283
1.830,590.630,0.025770
1.840,1038.234,0.015584
1.850,1035.677,0.014665
1.860,1029.692,0.008464
1.870,997.811,0.005701
1.880,980.707,0.010702
1.890,973.985,0.011204
1.900,1443.185,0.009096
1.910,1440.007,0.009486
1.920,1441.694,0.005045
1.930,1046.843,0.003595
1.940,1043.509,0.006574
1.950,981.607,0.022373
1.960,32.105,0.006259
1.970,1080.127,0.010773
1.980,1093.721,0.009957
1.990,1114.447,0.008375
2.000,1080.804,0.007395
2.010,1164.969,0.010067
2.020,1973.112,0.011312
2.030,1969.465,0.007699
2.040,980.386,0.007686
2.050,1954.492,0.009562
2.060,1953.022,0.014753
2.070,1970.792,0.059191
2.080,1973.270,0.039849
2.090,1958.511,0.014856
2.100,975.730,0.005492
2.110,1072.574,0.007199
2.120,1959.102,0.014225
2.130,1966.153,0.027982
2.140,1959.983,0.007236
2.150,1965.275,0.005438
2.160,1971.451,0.007997
2.170,1967.611,0.005983
2.180,1971.427,0.008297
2.190,1968.483,0.005867
2.200,978.418,0.002984
2.210,973.562,0.005016
2.220,1973.747,0.021129
2.230,1976.683,0.098701
2.240,1977.103,0.101391
2.250,1963.708,0.017710
2.260,1964.229,0.011530
2.270,1967.968,0.017674
2.280,1974.222,0.035239
2.290,1972.526,0.025710
2.300,1955.669,0.008803
2.310,974.570,0.009141
2.320,1952.214,0.015036
2.330,1979.117,0.052086
2.340,1977.264,0.049521
2.350,1961.051,0.015752
2.360,1952.614,0.005889
2.370,977.297,0.010587
2.380,1175.060,0.015567
2.390,1969.293,0.016655
2.400,1971.647,0.014196
2.410,1226.622,0.016811
2.420,1191.774,0.015053
2.430,1188.594,0.026364
2.440,1224.302,0.035147
2.450,1974.228,0.037041
2.460,1951.732,0.011018
2.470,1299.567,0.007325
2.480,1242.953,0.013578
2.490,50.015,0.035066
2.500,52.371,0.034534
2.510,54.179,0.030801
2.520,34.782,0.149876
2.530,34.866,0.015820
2.540,1175.581,0.008979
2.550,33.322,0.030242
2.560,32.260,0.018763
2.570,49.395,0.014634
2.580,32.164,0.017723
2.590,32.312,0.041852
2.600,32.556,0.053954
2.610,34.212,0.039443
2.620,33.448,0.171666
2.630,33.024,0.052027
2.640,35.187,0.011574
2.650,34.201,0.038421
2.660,39.246,0.052481
2.670,33.896,0.057948
2.680,44.451,0.014615
2.690,54.989,0.047129
2.700,33.584,0.019574
2.710,48.707,0.013624
2.720,32.443,0.004144
2.730,32.998,0.162843
2.740,32.907,0.154834
2.750,32.859,0.123577
2.760,32.379,0.080523
2.770,32.168,0.051984
2.780,36.398,0.063733
2.790,32.412,0.011134
2.800,32.245,0.017166
2.810,32.300,0.018266
2.820,32.230,0.065811
2.830,32.556,0.105150
2.840,34.047,0.161069
2.850,34.158,0.299364
2.860,33.565,0.342191
2.870,33.255,0.044133
2.880,33.697,0.005854
2.890,39.279,0.052928
2.900,40.297,0.105614
2.910,33.390,0.093106
2.920,33.186,0.044202
2.930,40.731,0.093967
2.940,54.462,0.083956
2.950,37.862,0.076052
2.960,39.198,0.024536
2.970,39.332,0.137995
2.980,38.653,0.023474
2.990,32.918,0.086369
3.000,32.893,0.249531
3.010,32.663,0.020686
3.020,1175.692,0.010178
3.030,1181.848,0.003816
3.040,52.492,0.034334
3.050,51.842,0.033964
3.060,51.110,0.012123
3.070,49.289,0.002576
3.080,35.315,0.035704
3.090,40.022,0.018342
3.100,39.614,0.047810
3.110,32.760,0.070755
3.120,33.177,0.047352
3.130,33.063,0.198734
3.140,32.540,0.145447
3.150,32.153,0.323866
3.160,32.346,0.053968
3.170,37.642,0.043745
3.180,46.559,0.075303
3.190,33.081,0.091252
3.200,32.831,0.237372
3.210,34.005,0.129938
3.220,35.718,0.039075
3.230,42.597,0.240686
3.240,42.814,0.084898
3.250,33.035,0.061870
3.260,41.833,0.200118
3.270,41.164,0.182298
3.280,40.802,0.218067
3.290,34.442,0.451369
3.300,34.617,0.140443
3.310,33.012,0.050563
3.320,33.063,0.079552
3.330,33.418,0.025837
3.340,33.409,0.108731
3.350,33.239,0.186301
3.360,33.592,0.503098
3.370,33.412,0.142987
3.380,33.433,0.031364
3.390,33.291,0.015884
3.400,32.349,0.009487
3.410,32.413,0.007980
3.420,32.278,0.029771
3.430,32.269,0.012435
3.440,120.242,0.008797
3.450,180.098,0.015750
3.460,41.596,0.262312
3.470,41.357,0.026415
3.480,32.429,0.043444
3.490,32.115,0.030127
3.500,32.189,0.026679
3.510,32.066,0.062046
3.520,32.188,0.011565
3.530,54.262,0.005511
3.540,32.345,0.009096
3.550,32.592,0.057693
3.560,39.456,0.134611
3.570,39.488,0.152727
3.580,54.771,0.032217
3.590,54.297,0.035010
3.600,44.408,0.100161
3.610,43.659,0.364945
3.620,46.613,0.462048
3.630,46.285,0.095429
3.640,34.104,0.307144
3.650,33.338,0.595137
